epoch,error_hedge_2,error_hedge_inf
37,0.0000,0.0293,0.0000
38,0.0000,0.0293,0.0000
39,0.0000,0.0295,0.0000
40,0.0000,0.0286,0.0000
41,0.0000,0.0289,0.0000
42,0.0000,0.0276,0.0000
43,0.0000,0.0280,0.0000
44,0.0000,0.0264,0.0000
45,0.0000,0.0267,0.0000
46,0.0000,0.0260,0.0000
47,0.0000,0.0259,0.0000
48,0.0000,0.0264,0.0000
49,0.0000,0.0266,0.0000
0,0.0140,0.6124,0.0140
1,0.0045,0.4953,0.0045
2,0.0006,0.2104,0.0006
3,0.0006,0.1980,0.0006
4,0.0003,0.1448,0.0003
5,0.0003,0.1312,0.0003
6,0.0003,0.1293,0.0003
7,0.0003,0.1270,0.0003
8,0.0003,0.1320,0.0003
9,0.0003,0.1314,0.0003
10,0.0003,0.1363,0.0003
11,0.0003,0.1356,0.0003
12,0.0003,0.1399,0.0003
13,0.0003,0.1365,0.0003
14,0.0003,0.1393,0.0003
15,0.0003,0.1406,0.0003
16,0.0003,0.1427,0.0003
17,0.0003,0.1387,0.0003
18,0.0003,0.1405,0.0003
19,0.0003,0.1418,0.0003
20,0.0003,0.1429,0.0003
21,0.0003,0.1403,0.0003
22,0.0003,0.1413,0.0003
23,0.0003,0.1404,0.0003
24,0.0003,0.1409,0.0003
25,0.0003,0.1391,0.0003
26,0.0003,0.1391,0.0003
27,0.0003,0.1389,0.0003
28,0.0003,0.1388,0.0003
29,0.0003,0.1419,0.0003
30,0.0003,0.1422,0.0003
31,0.0003,0.1384,0.0003
32,0.0003,0.1381,0.0003
33,0.0003,0.1364,0.0003
34,0.0003,0.1362,0.0003
35,0.0003,0.1375,0.0003
36,0.0003,0.1376,0.0003
37,0.0003,0.1373,0.0003
38,0.0003,0.1372,0.0003
39,0.0003,0.1383,0.0003
40,0.0003,0.1384,0.0003
41,0.0003,0.1356,0.0003
42,0.0003,0.1351,0.0003
43,0.0003,0.1362,0.0003
44,0.0003,0.1366,0.0003
45,0.0003,0.1371,0.0003
46,0.0003,0.1371,0.0003
47,0.0003,0.1342,0.0003
48,0.0003,0.1340,0.0003
49,0.0003,0.1338,0.0003
0,0.0093,0.6386,0.0093
1,0.0036,0.4449,0.0036
2,0.0006,0.2273,0.0006
3,0.0003,0.1618,0.0003
4,0.0002,0.1266,0.0002
5,0.0002,0.1304,0.0002
6,0.0002,0.1322,0.0002
7,0.0002,0.1379,0.0002
8,0.0002,0.1447,0.0002
9,0.0002,0.1414,0.0002
10,0.0003,0.1462,0.0003
11,0.0003,0.1486,0.0003
12,0.0003,0.1505,0.0003
13,0.0003,0.1518,0.0003
14,0.0003,0.1517,0.0003
15,0.0003,0.1491,0.0003
16,0.0003,0.1489,0.0003
17,0.0003,0.1523,0.0003
18,0.0003,0.1521,0.0003
19,0.0003,0.1475,0.0003
20,0.0003,0.1479,0.0003
21,0.0003,0.1510,0.0003
22,0.0003,0.1507,0.0003
23,0.0003,0.1475,0.0003
24,0.0003,0.1472,0.0003
25,0.0003,0.1475,0.0003
26,0.0003,0.1474,0.0003
27,0.0003,0.1490,0.0003
28,0.0003,0.1482,0.0003
29,0.0003,0.1506,0.0003
30,0.0003,0.1501,0.0003
31,0.0003,0.1497,0.0003
32,0.0003,0.1503,0.0003
33,0.0003,0.1503,0.0003
34,0.0003,0.1497,0.0003
35,0.0003,0.1480,0.0003
36,0.0003,0.1484,0.0003
37,0.0003,0.1481,0.0003
38,0.0003,0.1475,0.0003
39,0.0003,0.1491,0.0003
40,0.0003,0.1508,0.0003
41,0.0003,0.1474,0.0003
42,0.0003,0.1476,0.0003
43,0.0003,0.1488,0.0003
44,0.0003,0.1475,0.0003
45,0.0003,0.1515,0.0003
46,0.0003,0.1539,0.0003
47,0.0003,0.1516,0.0003
48,0.0003,0.1516,0.0003
49,0.0003,0.1510,0.0003
0,0.0081,0.5137,0.0081
1,0.0019,0.3092,0.0019
2,0.0003,0.1160,0.0003
3,0.0003,0.1172,0.0003
4,0.0002,0.0971,0.0002
5,0.0002,0.1103,0.0002
6,0.0002,0.1171,0.0002
7,0.0002,0.1129,0.0002
8,0.0003,0.1268,0.0003
9,0.0003,0.1209,0.0003
10,0.0003,0.1421,0.0003
11,0.0003,0.1375,0.0003
12,0.0003,0.1415,0.0003
13,0.0003,0.1388,0.0003
14,0.0003,0.1419,0.0003
15,0.0003,0.1410,0.0003
16,0.0003,0.1446,0.0003
17,0.0003,0.1403,0.0003
18,0.0003,0.1421,0.0003
19,0.0003,0.1374,0.0003
20,0.0003,0.1366,0.0003
21,0.0003,0.1379,0.0003
22,0.0003,0.1388,0.0003
23,0.0003,0.1367,0.0003
24,0.0003,0.1426,0.0003
25,0.0003,0.1397,0.0003
26,0.0003,0.1341,0.0003
27,0.0003,0.1347,0.0003
28,0.0003,0.1382,0.0003
29,0.0003,0.1350,0.0003
30,0.0003,0.1363,0.0003
31,0.0003,0.1346,0.0003
32,0.0003,0.1362,0.0003
33,0.0003,0.1305,0.0003
34,0.0003,0.1301,0.0003
35,0.0003,0.1309,0.0003
36,0.0003,0.1307,0.0003
37,0.0003,0.1272,0.0003
38,0.0003,0.1285,0.0003
39,0.0003,0.1235,0.0003
40,0.0003,0.1230,0.0003
41,0.0003,0.1217,0.0003
42,0.0003,0.1223,0.0003
43,0.0003,0.1194,0.0003
44,0.0003,0.1221,0.0003
45,0.0003,0.1210,0.0003
46,0.0003,0.1208,0.0003
47,0.0003,0.1169,0.0003
48,0.0003,0.1174,0.0003
49,0.0003,0.1134,0.0003
0,0.0178,0.7338,0.0178
1,0.0034,0.3899,0.0034
2,0.0005,0.1761,0.0005
3,0.0005,0.1513,0.0005
4,0.0003,0.1257,0.0003
5,0.0002,0.1181,0.0002
6,0.0002,0.1255,0.0002
7,0.0002,0.1185,0.0002
8,0.0003,0.1315,0.0003
9,0.0002,0.1256,0.0002
10,0.0003,0.1412,0.0003
11,0.0003,0.1306,0.0003
12,0.0003,0.1353,0.0003
13,0.0002,0.1308,0.0002
14,0.0002,0.1278,0.0002
15,0.0002,0.1264,0.0002
16,0.0002,0.1289,0.0002
17,0.0002,0.1269,0.0002
18,0.0002,0.1270,0.0002
19,0.0002,0.1252,0.0002
20,0.0002,0.1270,0.0002
21,0.0002,0.1273,0.0002
22,0.0002,0.1286,0.0002
23,0.0002,0.1272,0.0002
24,0.0002,0.1251,0.0002
25,0.0002,0.1257,0.0002
26,0.0002,0.1264,0.0002
27,0.0002,0.1237,0.0002
28,0.0002,0.1241,0.0002
29,0.0002,0.1230,0.0002
30,0.0002,0.1243,0.0002
31,0.0002,0.1246,0.0002
32,0.0002,0.1210,0.0002
33,0.0002,0.1198,0.0002
34,0.0002,0.1206,0.0002
35,0.0002,0.1206,0.0002
36,0.0002,0.1212,0.0002
37,0.0002,0.1182,0.0002
38,0.0002,0.1188,0.0002
39,0.0002,0.1217,0.0002
40,0.0002,0.1190,0.0002
41,0.0002,0.1154,0.0002
42,0.0002,0.1178,0.0002
43,0.0002,0.1177,0.0002
44,0.0002,0.1170,0.0002
45,0.0002,0.1131,0.0002
46,0.0002,0.1134,0.0002
47,0.0002,0.1165,0.0002
48,0.0002,0.1168,0.0002
49,0.0002,0.1161,0.0002
0,0.0075,0.5900,0.0075
1,0.0027,0.4051,0.0027
2,0.0004,0.2011,0.0004
3,0.0004,0.1672,0.0004
4,0.0002,0.1195,0.0002
5,0.0002,0.1411,0.0002
6,0.0002,0.1387,0.0002
7,0.0002,0.1445,0.0002
8,0.0002,0.1512,0.0002
9,0.0002,0.1506,0.0002
10,0.0002,0.1563,0.0002
11,0.0002,0.1552,0.0002
12,0.0002,0.1592,0.0002
13,0.0002,0.1584,0.0002
14,0.0003,0.1594,0.0003
15,0.0003,0.1609,0.0003
16,0.0003,0.1601,0.0003
17,0.0003,0.1608,0.0003
18,0.0003,0.1598,0.0003
19,0.0003,0.1614,0.0003
20,0.0003,0.1611,0.0003
21,0.0003,0.1609,0.0003
22,0.0003,0.1602,0.0003
23,0.0003,0.1612,0.0003
24,0.0003,0.1594,0.0003
25,0.0003,0.1606,0.0003
26,0.0003,0.1599,0.0003
27,0.0003,0.1608,0.0003
28,0.0003,0.1617,0.0003
29,0.0003,0.1633,0.0003
30,0.0003,0.1629,0.0003
31,0.0003,0.1632,0.0003
32,0.0003,0.1611,0.0003
33,0.0003,0.1601,0.0003
34,0.0003,0.1597,0.0003
35,0.0003,0.1614,0.0003
36,0.0003,0.1600,0.0003
37,0.0003,0.1618,0.0003
38,0.0003,0.1612,0.0003
39,0.0003,0.1599,0.0003
40,0.0003,0.1590,0.0003
41,0.0003,0.1589,0.0003
42,0.0003,0.1598,0.0003
43,0.0003,0.1602,0.0003
44,0.0003,0.1602,0.0003
45,0.0003,0.1581,0.0003
46,0.0003,0.1578,0.0003
47,0.0003,0.1592,0.0003
48,0.0003,0.1587,0.0003
49,0.0003,0.1583,0.0003
0,0.0092,0.6127,0.0092
1,0.0031,0.4466,0.0031
2,0.0004,0.1850,0.0004
3,0.0004,0.1681,0.0004
4,0.0003,0.1304,0.0003
5,0.0002,0.1461,0.0002
6,0.0003,0.1481,0.0003
7,0.0002,0.1481,0.0002
8,0.0003,0.1569,0.0003
9,0.0003,0.1560,0.0003
10,0.0003,0.1644,0.0003
11,0.0003,0.1631,0.0003
12,0.0003,0.1697,0.0003
13,0.0003,0.1665,0.0003
14,0.0003,0.1698,0.0003
15,0.0003,0.1687,0.0003
16,0.0003,0.1708,0.0003
17,0.0003,0.1703,0.0003
18,0.0003,0.1707,0.0003
19,0.0003,0.1691,0.0003
20,0.0003,0.1692,0.0003
21,0.0003,0.1675,0.0003
22,0.0003,0.1676,0.0003
23,0.0003,0.1647,0.0003
24,0.0003,0.1645,0.0003
25,0.0003,0.1622,0.0003
26,0.0003,0.1629,0.0003
27,0.0003,0.1640,0.0003
28,0.0003,0.1633,0.0003
29,0.0003,0.1631,0.0003
30,0.0003,0.1633,0.0003
31,0.0003,0.1616,0.0003
32,0.0003,0.1599,0.0003
33,0.0003,0.1582,0.0003
